1;;
COD;PRODUTOS;VEND. POR:
740;ABACAXI EM CALDA RODELAS TOZZI 400 G (CX 12 LT);LT
7100;ACÉM BOVINO RESFRIADO BOI BRASIL 9 KG (CX 28 KG);KG
8474;ACÉM BOVINO RESFRIADO MATOSO 12 KG (CX 28 KG);KG
218;ACETO BALSÂMICO DI MODENA DI SALERNO 500 ML (CX 12 VD);VD
8285;ACETO BALSÂMICO DI MODENA DON RAVELLO 500 ML (CX 12 VD);VD
6077;ACHOCOLATADO EM PÓ CHOCKY ITALAC 700 G (CX 12 PCT);PCT
4743;ACHOCOLATADO EM PÓ NESCAU 2 KG (CX 4 PCT);PCT
3329;"ACHOCOLATADO EM PÓ OVOMALTINE FLOCOS CROCANTES 750 G (CX
12 PCT)";PCT
8633;ACHOCOLATADO EM PÓ Q-ALIMENTARE 5 KG (FDO 4 PCT);PCT
6956;ACHOCOLATADO EM PÓ TODDY 1.8 KG (CX 6 PCT);PCT
4224;AÇÚCAR CONFEITEIRO GLAÇÚCAR UNIÃO 500 G (FDO 20 PCT);FD
8344;AÇÚCAR CONFEITEIRO ITAIQUARA 1 KG (FDO 10 PCT);PCT
4385;AÇÚCAR CRISTALÇUCAR UNIÃO 1 KG (FDO 10 PCT);FD
1027;AÇÚCAR DEMERARA DA BARRA 1 KG (FDO 10 PCT);PCT
4225;AÇÚCAR DEMERARA NATURALE UNIÃO 1 KG (FDO 10 PCT);PCT
3922;AÇÚCAR MASCAVO 3 GARÇAS 1 KG (FDO 10 PCT);PCT
8291;AÇÚCAR MASCAVO MINAMEL 1 KG (FDO 10 PCT);PCT
4672;AÇÚCAR MASCAVO UNIÃO 1 KG (CX 12 PCT);PCT
4756;AÇÚCAR ORGÂNICO UNIÃO 1 KG (FDO 10 PCT);PCT
7566;AÇÚCAR REFINADO ALTO ALEGRE 1 KG (FDO 10 PCT);FD
692;AÇÚCAR REFINADO CARAVELAS 1 KG (FDO 10 PCT);FD
8551;AÇÚCAR REFINADO GLOBO 1 KG (FDO 10 PCT);FD
4261;AÇÚCAR REFINADO GRANULADO DOÇÚCAR UNIÃO 1 KG (FDO 10 PCT);PCT
254;AÇÚCAR REFINADO UNIÃO 1 KG (FDO 10 PCT);FD
3457;AÇÚCAR SACHÊ CRISTAL GUARANI 5 G (CX 1000 UN);CX
5343;AÇÚCAR SACHÊ MASCAVO UNIÃO 4 G (CX 200 UN);CX
4663;AÇÚCAR SACHÊ ORGÂNICO UNIÃO 5 G (CX 400 UN);CX
472;AÇÚCAR SACHÊ PREMIUM UNIÃO 5 G (CX 400 UN);CX
5847;ADOÇANTE LÍQUIDO SUCRALOSE UNIÃO 65 ML (CX 12 FR);CX
918;ADOÇANTE SACHÊ DEGUST 0,4 G (CX 1000 UN);CX
4010;ADOÇANTE SACHÊ SUCRALOSE UNIÃO 0,6 G (CX 400 UN);CX
7425;ÁGUA DE COCO GRANDE COCO QUADRADO 1 L (CX 12 UN);CX
3937;ÁGUA DE COCO GRANDE MAIS COCO 1 L (CX 12 UN);CX
3629;ÁGUA DE COCO GRANDE SOCOCO 1 L (CX 12 UN);CX
1456;ÁGUA DE COCO MÉDIA SOCOCO 330 ML (CX 12 UN);CX
5828;ÁGUA DE COCO PEQUENA COCO QUADRADO 200 ML (CX 27 UN);CX
2910;ÁGUA DE COCO PEQUENA SOCOCO 200 ML (CX 24 UN);CX
6520;ÁGUA MINERAL BUONAVITA COM GÁS 510 ML (PCT 12 UN);PCT
6521;ÁGUA MINERAL BUONAVITA SEM GÁS 510 ML (PCT 12 UN);PCT
3861;ÁGUA MINERAL CRYSTAL COM GÁS 1,5 L (PCT 6 UN);PCT
3260;ÁGUA MINERAL CRYSTAL COM GÁS 500 ML (PCT 12 UN);PCT
1387;ÁGUA MINERAL CRYSTAL SEM GÁS 500 ML (PCT 12 UN);PCT
6522;ÁGUA MINERAL GRANDE BUONAVITA SEM GÁS 1,5 L (PCT 6 UN);PCT
3041;ÁGUA MINERAL GRANDE CRYSTAL SEM GÁS 1,5 L (PCT 6 UN);PCT
4260;ÁGUA MINERAL SÃO LOURENÇO COM GÁS 300 ML (PCT 12 UN);PCT
4221;ÁGUA MINERAL SÃO LOURENÇO SEM GÁS 300 ML (PCT 12 UN);PCT
701;ÁGUA SANITÁRIA YPÊ 1 L (CX 12 FR);CX
1526;ÁGUA TÔNICA ANTARCTICA LATA 350 ML (PCT 12 LT);PCT
3508;ÁGUA TÔNICA ANTARCTICA ZERO AÇÚCARES LATA 350 ML (PCT 12 LT);PCT
4942;ÁGUA TÔNICA SCHWEPPES LATA 350 ML (PCT 6 LT);PCT
5566;AGUARDENTE DE CANA KARIRI 960 ML (CX 12 UN);UN
3849;AGUARDENTE DE CANA PITÚ 965 ML (CX 12 UN);UN
3850;AGUARDENTE DE CANA PITÚ LATA 350 ML (PCT 12 UN);PCT
3431;AGUARDENTE DE CANA YPIÓCA PRATA SEM PALHA 965 ML (CX 12 UN);UN
7667;AJINOMOTO FOOD SERVICE 10 KG (PCT 10KG);PCT
455;AJINOMOTO PEQUENO 2 KG (CX 5 PCT);PCT
7873;ALCACHOFRA CORAÇÃO CORTADO DI CASTELLI 2,5 KG (CX 6 LT);LT
3844;ALCACHOFRA CORAÇÃO INTEIRO ARCO BELLO 2,5 KG (CX 6 LT);LT
501;ALCACHOFRA CORAÇÃO INTEIRO DI SALERNO 2,5 KG (CX 6 LT);LT
276;ALCACHOFRA FUNDO DI SALERNO 2,5 KG (CX 6 LT);LT
4380;ALCAPARRA ARCO BELLO (BD 2 KG);BD
278;ALCAPARRA DI SALERNO 700 G (CX 12 UN);UN
7342;"ALCATRA COM MAMINHA BOVINA RESFRIADA BOI BRASIL 5 KG (CX 26
KG)";KG
3358;ÁLCOOL LÍQUIDO TUPI 70° 1 L (CX 12 FR);CX
6644;ALGAS MARINHAS YAKI SUSHI NORI BLACK TAICHI 140 G (CX 92 PCT);PCT
8449;ALGAS MARINHAS YAKI SUSHI NORI GOLD OSARA 140 G (CX 92 PCT);PCT
6004;ALGAS MARINHAS YAKI SUSHI NORI GREEN TAICHI 140 G (CX 92 PCT);PCT
7005;ALHO EM PÓ BRASILSECO 1 KG (CX 10 PCT);PCT
7804;ALHO FRITO CROCANTE OISHII 500 G (CX 15 PCT);PCT
3517;ALHO FRITO FINO DELEON 500 G (CX 20 PCT);PCT
8129;ALHO FRITO FINO ZAZO 500 G (CX 20 PCT);PCT
6392;"ALHO INTEIRO DESCASCADO CONGELADO PRATIGEL 1,02 KG (CX 10
PCT)";PCT
3414;ALHO TRITURADO DELEON 1 KG (CX 12 BD);BD
8343;ALHO TRITURADO GRANDE ARCO BELLO (BD 3 KG);BD
3415;ALHO TRITURADO GRANDE DELEON 3 KG (CX 6 BD);BD
8388;ALICHE ARGENTINO A VÁCUO DI SALERNO 500 G (CX 20 PCT);PCT
7294;ALICHE ARGENTINO A VÁCUO MARCOL 500 G (CX 10 PCT);PCT
4844;ALICHE ARGENTINO DI SALERNO 1,5 KG (CX 6 VD);VD
152;ALICHE NACIONAL RIBAMAR (UN 900 G);UN
6499;ALMÔNDEGA AVES E BOVINA CONGELADA BRASA 1 KG (CX 9 PCT);PCT
8232;ALMÔNDEGA BOVINA ANGUS CONGELADA BRASA 500 G (CX 18 PCT);PCT
8641;AMACIANTE DE CARNE PENINA 1,05 KG (CX 10 PCT);PCT
4862;AMACIANTE DE CARNE TECNUTRI 1,01 KG (CX 10 PCT);PCT
4490;AMACIANTE DE CARNES COM TEMPERO KISABOR 1,01 KG (CX 12 PCT);PCT
883;AMACIANTE DE CARNES COM TEMPERO QUALIMAX 1,01 KG (CX 10 PCT);PCT
741;AMEIXA EM CALDA TOZZI 400 G (CX 12 LT);LT
4419;AMEIXA SECA SEM CAROÇO BRASILSECO 1KG (FDO 10 PCT);PCT
8245;AMEIXA SECA SEM CAROÇO LERYC 1 KG (CX 10 PCT);PCT
1008;AMÊNDOA LAMINADA BRASILSECO 1 KG (FDO 10 PCT);PCT
6810;AMENDOIM TORRADO GRANULADO VABENE 1,05 KG (CX 12 PCT);PCT
8417;AMENDOIM TORRADO GRANULADO XERÉM LERYC 1 KG (CX 10 PCT);PCT
4552;"AMENDOIM TORRADO SALGADO SEM PELE BRASILSECO 1,01 KG (CX 10
PCT)";PCT
8253;AMENDOIM TORRADO SALGADO SEM PELE LERYC 1 KG (CX 10 PCT);PCT
5135;AMIDO DE MILHO MAIZENA 1,8 KG (CX 8 PCT);PCT
568;AMIDO DE MILHO PQ 1 KG (FDO 10 PCT);PCT
8335;AMIDO DE MILHO TECNUTRI 1 KG (CX 10 PCT);PCT
7708;"ANÉIS DE CEBOLA CONGELADOS PRÉ FRITOS EMPANADOS PRÉ
FORMADOS BEM BRASIL 1,05 KG (CX 6 PCT)";CX
7710;"ANÉIS DE CEBOLA CONGELADOS PRÉ FRITOS EMPANADOS PRÉ
FORMADOS MCCAIN 1,05 KG (CX 10 PCT)";CX
1725;APERITIVO APEROL 750 ML (CX 6 UN);UN
1688;APERITIVO BRASILBERG 920 ML (CX 6 UN);UN
1516;APERITIVO CAMPARI 998 ML (CX 12 UN);UN
1350;APERITIVO CATUABA SELVAGEM TRADICIONAL 900 ML (CX 12 UN);UN
1517;APERITIVO CINZANO VERMOUTH ROSSO 1 L (CX 12 UN);UN
1583;APERITIVO CONTINI 900 ML (CX 12 UN);UN
1518;APERITIVO CYNAR 900 ML (CX 12 UN);UN
2978;APERITIVO FERNET FENETTI DUBAR 900 ML (CX 12 UN);UN
1681;APERITIVO JURUPINGA DINALLE 975 ML (CX 12 UN);UN
1716;APERITIVO MALIBU 750 ML (CX 12 UN);UN
4266;APERITIVO MARTINI BIANCO SUAVE 750 ML (CX 12 UN);UN
1689;APERITIVO PARATUDO RAÍZES AMARGAS 900 ML (CX 12 UN);UN
373;APLICADOR PARA REQUEIJÃO (CX 1 UN);UN
142;APRESUNTADO AURORA 3,7 KG (CX 2 PÇ);PÇ
1660;APRESUNTADO DÁLIA 3,7 KG (CX 4 PÇ);PÇ
4245;APRESUNTADO DELI GOURMET 3,35 KG (CX 2 PÇ);PÇ
144;APRESUNTADO PEPERI NOBRE 3,7 KG (CX 2 PÇ);PÇ
4389;APRESUNTADO PERDIGÃO 3,5 KG (CX 2 PÇ);PÇ
143;APRESUNTADO PRIETO 3,65 KG (CX 2 PÇ);PÇ
4853;APRESUNTADO REZENDE 3,4 KG (CX 2 PÇ);PÇ
145;APRESUNTADO SADIA 3,5 KG (CX 2 PÇ);PÇ
3756;APRESUNTADO SEARA 3,5 KG (CX 4 PÇ);PÇ
8404;"ARANHA DA ALCATRA BOVINA CONGELADA BOI BRASIL 1,5 KG (CX 25
KG)";KG
7375;"ARANHA DA ALCATRA BOVINA RESFRIADA FRIGOESTRELA 1 KG (CX 14
KG)";KG
7448;"ARANHA DA ALCATRA BOVINA RESFRIADA GOLD BEEF 1,5 KG (CX 27
KG)";KG
8368;AROMA ARTIFICIAL DE BAUNILHA CEPÊRA 480 ML (CX 12 FR);FR
3214;ARROZ 7 GRÃOS INTEGRAIS CAMIL 1 KG (CX 12 PCT);PCT
4284;ARROZ ARBÓRIO DI CASTELLI 1 KG (CX 10 PCT);PCT
3193;ARROZ ARBÓRIO DI SALERNO 1 KG (CX 10 PCT);PCT
8422;ARROZ ARBÓRIO LA PASTINA 1 KG (CX 10 PCT);PCT
8568;ARROZ ARBÓRIO PROVINCIAS DO SUL 1 KG (FDO 10 PCT);PCT
3359;ARROZ BASMATI CAMIL 500 G (CX 12 PCT);PCT
5046;ARROZ BRANCO PEQUENO TIPO 1 CAMIL 1 KG (FDO 10 PCT);FD
89;ARROZ BRANCO TIPO 1 FOOD SERVICE CAMIL 5 KG (FDO 6 PCT);FD
5333;ARROZ BRANCO TIPO 1 NAMORADO 5 KG (FDO 6 PCT);FD
5117;ARROZ BRANCO TIPO 1 SOLITO 5 KG (FDO 6 PCT);FD
505;ARROZ INTEGRAL CAMIL 1 KG (FDO 10 PCT);FD
805;ARROZ INTEGRAL FOOD SERVICE CAMIL 2 KG (FDO 5 PCT);FD
4375;ARROZ JAPONÊS GUIN GRÃO CURTO CAMIL 5 KG (FDO 6 PCT);PCT
1710;"ARROZ JAPONÊS TIPO 1 CLASSE LONGO INARÍ SOLITO 5 KG (FDO 6
PCT)";PCT
3343;ARROZ PARBOILIZADO TIPO 1 FOOD SERVICE CAMIL 5 KG (FDO 6 PCT);FD
5349;ARROZ PARBOILIZADO TIPO 1 NAMORADO 5 KG (FDO 6 PCT);FD
810;"ARROZ RISOTOS CULINÁRIA ITALIANA FOOD SERVICE CAMIL 2 KG (FDO
5 PCT)";PCT
6262;ASAS DE FRANGO CONGELADAS COPACOL (CX 16 KG);CX
4259;ASPARGOS BRANCO DI SALERNO 395 G (CX 12 VD);VD
5002;"ATUM GRANDE PEDAÇOS EM ÓLEO POUCH GOMES DA COSTA 1 KG (CX
6 PCT)";PCT
835;"ATUM GRANDE RALADO AO NATURAL POUCH GOMES DA COSTA 1 KG
(CX 6 PCT)";PCT
5512;ATUM GRANDE RALADO EM ÓLEO POUCH 88 1 KG (CX 6 PCT);PCT
5003;"ATUM GRANDE RALADO EM ÓLEO POUCH GOMES DA COSTA 1 KG (CX 6
PCT)";PCT
4988;ATUM PEDAÇOS EM ÓLEO MARSUL 400 G (CX 24 LT);LT
5475;ATUM PEDAÇOS EM ÓLEO POUCH ARCO BELLO 500 G (CX 10 PCT);PCT
4786;ATUM PEDAÇOS EM ÓLEO POUCH COQUEIRO 480 G (CX 12 PCT);PCT
425;ATUM PEDAÇOS EM ÓLEO POUCH GOMES DA COSTA 500 G (CX 12 PCT);PCT
1219;ATUM PEDAÇOS EM ÓLEO TOURS 400 G (CX 24 LT);LT
7731;ATUM PEQUENO PEDAÇOS EM ÓLEO 88 140 G (CX 24 LT);CX
1352;"ATUM PEQUENO PEDAÇOS EM ÓLEO GOMES DA COSTA 170 G (CX 24
LT)";CX
4439;ATUM PEQUENO RALADO EM ÓLEO COQUEIRO 170 G (CX 24 LT);CX
1353;ATUM PEQUENO RALADO EM ÓLEO GOMES DA COSTA 170 G (CX 24 LT);CX
859;ATUM PEQUENO RALADO EM ÓLEO PESCADOR 140 G (CX 24 LT);CX
5664;ATUM PEQUENO SÓLIDO EM ÓLEO 88 140 G (CX 24 LT);CX
5433;ATUM PEQUENO SÓLIDO EM ÓLEO COQUEIRO 170 G (CX 24 LT);CX
1351;ATUM PEQUENO SÓLIDO EM ÓLEO GOMES DA COSTA 170 G (CX 24 LT);CX
77;ATUM PEQUENO SÓLIDO EM ÓLEO PESCADOR 140 G (CX 24 LT);CX
4048;ATUM RALADO EM ÓLEO CHICHARRO SANTA RITA 410 G (CX 24 LT);LT
3284;ATUM RALADO EM ÓLEO MARSUL 400 G (CX 24 LT);LT
3273;ATUM RALADO EM ÓLEO POUCH 88 500 G (CX 12 PCT);PCT
1524;ATUM RALADO EM ÓLEO POUCH COQUEIRO 480 G (CX 12 PCT);PCT
529;ATUM RALADO EM ÓLEO POUCH GOMES DA COSTA 500 G (CX 12 PCT);PCT
894;ATUM RALADO EM ÓLEO TOURS 400 G (CX 24 LT);LT
3285;ATUM SÓLIDO EM ÓLEO MARSUL 400 G (CX 24 LT);LT
864;ATUM SÓLIDO EM ÓLEO TOURS 420 G (CX 24 LT);LT
6404;AVEIA EM FLOCOS QUALIMAX 170 G (CX 24 UN);UN
4902;AVEIA EM FLOCOS YOKI 500 G (FDO 12 PCT);PCT
8415;AVELÃ SEM CASCA LERYC 1 KG (CX 10 PCT);PCT
372;AVENTAL EMBORRACHADO BRANCO TAMANHO ÚNICO (UN);UN
6658;AVENTAL EMBORRACHADO PRETO TAMANHO ÚNICO (UN);UN
453;AVENTAL TERGAL BRANCO TAMANHO ÚNICO (UN);UN
5737;AZEITE COMPOSTO 30% OLIVA E SOJA LISBOA 500 ML (CX 12 VD);VD
8518;"AZEITE COMPOSTO 40% OLIVA 30% GIRASSOL E 30% SOJA FELICITÁ
500 ML (CX 12 VD)";VD
8520;"AZEITE COMPOSTO 40% OLIVA 30% GIRASSOL E 30% SOJA FELICITÁ
PET 500 ML (CX 12 UN)";FR
7418;AZEITE COMPOSTO 50% OLIVA E GIRASSOL LISBOA 500 ML (CX 12 VD);VD
564;AZEITE COMPOSTO OLIVA E SOJA CARMELITA 500 ML (CX 12 LT);LT
